,tenure,MonthlyCharges,Contract,InternetService,Churn_Probability,Risk_Level,Monthly_Revenue
752,7,71.35,Month-to-month,DSL,12.0,Low Risk,71.35
306,32,74.9,Month-to-month,Fiber optic,12.0,Low Risk,74.9
326,11,82.9,Month-to-month,Fiber optic,12.0,Low Risk,82.9
230,54,108.0,Two year,Fiber optic,12.0,Low Risk,108.0
14,25,105.5,Month-to-month,Fiber optic,12.0,Low Risk,105.5
612,66,20.55,Two year,No,12.0,Low Risk,20.55
611,9,65.0,Month-to-month,DSL,12.0,Low Risk,65.0
724,33,94.5,Month-to-month,Fiber optic,12.0,Low Risk,94.5
1147,3,60.25,Month-to-month,DSL,12.0,Low Risk,60.25
1214,19,86.0,Month-to-month,Fiber optic,12.0,Low Risk,86.0
1357,48,111.45,Month-to-month,Fiber optic,12.0,Low Risk,111.45
682,3,64.4,Month-to-month,DSL,12.0,Low Risk,64.4
1263,68,89.6,Month-to-month,Fiber optic,12.0,Low Risk,89.6
563,59,99.5,Two year,Fiber optic,12.0,Low Risk,99.5
1110,60,39.6,Two year,DSL,12.0,Low Risk,39.6
1141,6,20.2,Month-to-month,No,11.0,Low Risk,20.2
1098,67,89.55,One year,Fiber optic,11.0,Low Risk,89.55
1193,47,74.45,Two year,DSL,11.0,Low Risk,74.45
76,46,55.65,One year,DSL,11.0,Low Risk,55.65
667,49,30.2,Month-to-month,DSL,11.0,Low Risk,30.2
1145,32,75.5,Month-to-month,Fiber optic,11.0,Low Risk,75.5
1350,67,65.65,Two year,DSL,11.0,Low Risk,65.65
1276,71,99.4,Two year,Fiber optic,11.0,Low Risk,99.4
367,1,19.15,Month-to-month,No,11.0,Low Risk,19.15
942,24,79.85,Month-to-month,Fiber optic,11.0,Low Risk,79.85
1041,16,19.3,One year,No,11.0,Low Risk,19.3
736,30,110.45,One year,Fiber optic,11.0,Low Risk,110.45
946,4,20.5,Month-to-month,No,11.0,Low Risk,20.5
516,28,54.3,One year,DSL,11.0,Low Risk,54.3
524,34,100.05,Month-to-month,Fiber optic,11.0,Low Risk,100.05
1081,46,98.85,Month-to-month,Fiber optic,11.0,Low Risk,98.85
1315,11,20.9,Two year,No,11.0,Low Risk,20.9
312,43,115.05,Two year,Fiber optic,11.0,Low Risk,115.05
677,2,34.7,Month-to-month,DSL,10.0,Low Risk,34.7
1161,1,31.35,Month-to-month,DSL,10.0,Low Risk,31.35
1170,72,114.0,Two year,Fiber optic,10.0,Low Risk,114.0
242,41,74.7,One year,DSL,10.0,Low Risk,74.7
179,61,20.55,One year,No,10.0,Low Risk,20.55
924,22,81.7,Month-to-month,Fiber optic,10.0,Low Risk,81.7
261,13,106.9,Month-to-month,Fiber optic,10.0,Low Risk,106.9
767,14,20.4,One year,No,10.0,Low Risk,20.4
918,26,80.7,Month-to-month,Fiber optic,10.0,Low Risk,80.7
19,21,90.05,Month-to-month,Fiber optic,10.0,Low Risk,90.05
1196,66,85.25,Two year,DSL,10.0,Low Risk,85.25
1305,28,59.55,Month-to-month,DSL,10.0,Low Risk,59.55
141,8,71.15,Month-to-month,DSL,10.0,Low Risk,71.15
351,17,44.6,One year,DSL,10.0,Low Risk,44.6
975,71,108.05,Two year,Fiber optic,10.0,Low Risk,108.05
297,35,100.8,Month-to-month,Fiber optic,10.0,Low Risk,100.8
397,34,73.95,Month-to-month,Fiber optic,10.0,Low Risk,73.95
1122,19,44.85,One year,DSL,10.0,Low Risk,44.85
1361,4,78.45,Month-to-month,Fiber optic,10.0,Low Risk,78.45
822,47,103.1,One year,Fiber optic,10.0,Low Risk,103.1
969,2,96.0,Month-to-month,Fiber optic,10.0,Low Risk,96.0
391,27,84.8,Month-to-month,DSL,9.0,Low Risk,84.8
919,21,104.55,One year,Fiber optic,9.0,Low Risk,104.55
395,66,90.05,Two year,DSL,9.0,Low Risk,90.05
299,1,73.6,Month-to-month,Fiber optic,9.0,Low Risk,73.6
1023,45,86.1,Month-to-month,Fiber optic,9.0,Low Risk,86.1
1006,18,90.1,Month-to-month,Fiber optic,9.0,Low Risk,90.1
384,48,108.1,Two year,Fiber optic,9.0,Low Risk,108.1
990,56,80.3,Two year,Fiber optic,9.0,Low Risk,80.3
225,24,50.6,One year,DSL,9.0,Low Risk,50.6
1026,8,100.6,Month-to-month,Fiber optic,9.0,Low Risk,100.6
970,1,90.55,Month-to-month,Fiber optic,9.0,Low Risk,90.55
1129,47,86.05,Month-to-month,Fiber optic,9.0,Low Risk,86.05
353,4,84.8,Month-to-month,Fiber optic,9.0,Low Risk,84.8
930,16,75.1,Month-to-month,Fiber optic,9.0,Low Risk,75.1
358,27,30.75,Month-to-month,DSL,9.0,Low Risk,30.75
1072,22,56.75,Two year,DSL,9.0,Low Risk,56.75
1079,3,69.55,Month-to-month,Fiber optic,9.0,Low Risk,69.55
469,13,55.95,Month-to-month,DSL,9.0,Low Risk,55.95
838,36,79.2,Month-to-month,DSL,9.0,Low Risk,79.2
587,5,20.1,One year,No,9.0,Low Risk,20.1
759,72,90.35,Two year,Fiber optic,9.0,Low Risk,90.35
7,10,29.75,Month-to-month,DSL,9.0,Low Risk,29.75
1245,23,90.45,Month-to-month,Fiber optic,9.0,Low Risk,90.45
683,40,103.75,One year,Fiber optic,9.0,Low Risk,103.75
681,61,73.8,Two year,DSL,9.0,Low Risk,73.8
1242,21,28.5,Month-to-month,DSL,9.0,Low Risk,28.5
1278,36,60.7,One year,DSL,9.0,Low Risk,60.7
447,52,25.05,Two year,No,9.0,Low Risk,25.05
894,63,81.2,One year,Fiber optic,9.0,Low Risk,81.2
636,31,99.45,Two year,Fiber optic,9.0,Low Risk,99.45
672,1,75.05,Month-to-month,Fiber optic,9.0,Low Risk,75.05
660,4,24.25,Month-to-month,DSL,9.0,Low Risk,24.25
1014,18,57.45,Month-to-month,DSL,8.4,Low Risk,57.45
416,70,98.7,Two year,Fiber optic,8.4,Low Risk,98.7
332,46,94.9,One year,Fiber optic,8.0,Low Risk,94.9
1183,53,93.45,One year,Fiber optic,8.0,Low Risk,93.45
317,38,80.3,One year,DSL,8.0,Low Risk,80.3
58,34,24.95,Two year,No,8.0,Low Risk,24.95
314,5,80.6,Month-to-month,Fiber optic,8.0,Low Risk,80.6
2,2,53.85,Month-to-month,DSL,8.0,Low Risk,53.85
1184,18,87.9,Month-to-month,Fiber optic,8.0,Low Risk,87.9
706,65,59.6,Two year,DSL,8.0,Low Risk,59.6
638,56,104.55,One year,Fiber optic,8.0,Low Risk,104.55
39,11,97.85,Month-to-month,Fiber optic,8.0,Low Risk,97.85
679,45,81.4,Month-to-month,Fiber optic,8.0,Low Risk,81.4
676,48,24.55,One year,No,8.0,Low Risk,24.55
160,13,56.0,Month-to-month,DSL,8.0,Low Risk,56.0
1353,66,20.35,One year,No,8.0,Low Risk,20.35
791,68,76.9,One year,DSL,8.0,Low Risk,76.9
811,70,104.0,Two year,Fiber optic,8.0,Low Risk,104.0
99,25,98.5,Month-to-month,Fiber optic,8.0,Low Risk,98.5
585,1,85.7,Month-to-month,Fiber optic,8.0,Low Risk,85.7
868,59,85.55,One year,Fiber optic,8.0,Low Risk,85.55
434,41,19.75,Two year,No,8.0,Low Risk,19.75
1281,36,19.25,One year,No,8.0,Low Risk,19.25
118,41,20.65,Two year,No,8.0,Low Risk,20.65
474,1,74.7,Month-to-month,Fiber optic,8.0,Low Risk,74.7
437,72,114.05,Two year,Fiber optic,8.0,Low Risk,114.05
1065,23,90.05,Month-to-month,Fiber optic,8.0,Low Risk,90.05
1051,16,35.5,Month-to-month,DSL,8.0,Low Risk,35.5
512,5,74.35,Month-to-month,Fiber optic,8.0,Low Risk,74.35
394,42,95.05,Month-to-month,Fiber optic,8.0,Low Risk,95.05
106,72,104.15,One year,Fiber optic,8.0,Low Risk,104.15
75,56,110.5,One year,Fiber optic,8.0,Low Risk,110.5
931,33,80.6,Two year,Fiber optic,8.0,Low Risk,80.6
376,1,25.35,Month-to-month,DSL,8.0,Low Risk,25.35
886,7,84.35,Month-to-month,Fiber optic,8.0,Low Risk,84.35
506,11,78.0,Month-to-month,Fiber optic,8.0,Low Risk,78.0
637,68,70.9,Two year,DSL,7.1,Low Risk,70.9
108,43,94.35,One year,Fiber optic,7.0,Low Risk,94.35
1404,35,23.3,Two year,No,7.0,Low Risk,23.3
250,51,93.5,One year,Fiber optic,7.0,Low Risk,93.5
186,20,51.8,Month-to-month,DSL,7.0,Low Risk,51.8
652,35,20.1,Two year,No,7.0,Low Risk,20.1
777,2,82.0,Month-to-month,Fiber optic,7.0,Low Risk,82.0
691,31,75.25,One year,DSL,7.0,Low Risk,75.25
1002,4,69.55,Month-to-month,Fiber optic,7.0,Low Risk,69.55
772,1,19.9,Month-to-month,No,7.0,Low Risk,19.9
203,13,78.3,Month-to-month,Fiber optic,7.0,Low Risk,78.3
1062,34,50.2,Month-to-month,DSL,7.0,Low Risk,50.2
757,3,19.85,Month-to-month,No,7.0,Low Risk,19.85
205,33,79.95,One year,Fiber optic,7.0,Low Risk,79.95
466,64,102.1,Two year,Fiber optic,7.0,Low Risk,102.1
851,52,85.15,Two year,DSL,7.0,Low Risk,85.15
169,16,20.4,Month-to-month,No,7.0,Low Risk,20.4
1248,11,90.15,Month-to-month,Fiber optic,7.0,Low Risk,90.15
1046,52,74.0,One year,DSL,7.0,Low Risk,74.0
1264,69,95.2,Two year,Fiber optic,7.0,Low Risk,95.2
547,65,105.05,One year,Fiber optic,7.0,Low Risk,105.05
316,71,19.9,Two year,No,7.0,Low Risk,19.9
1174,14,54.25,One year,DSL,7.0,Low Risk,54.25
584,3,20.0,Month-to-month,No,7.0,Low Risk,20.0
835,60,93.25,Month-to-month,Fiber optic,7.0,Low Risk,93.25
409,1,19.6,Month-to-month,No,7.0,Low Risk,19.6
944,54,104.1,Month-to-month,Fiber optic,7.0,Low Risk,104.1
145,65,99.05,Two year,Fiber optic,7.0,Low Risk,99.05
974,59,75.95,Two year,DSL,7.0,Low Risk,75.95
500,34,116.25,One year,Fiber optic,7.0,Low Risk,116.25
279,5,50.55,Month-to-month,DSL,7.0,Low Risk,50.55
1394,62,110.8,One year,Fiber optic,7.0,Low Risk,110.8
644,15,25.25,Month-to-month,No,7.0,Low Risk,25.25
172,14,81.95,Two year,DSL,6.0,Low Risk,81.95
1025,60,110.0,Two year,Fiber optic,6.0,Low Risk,110.0
1406,66,25.3,Two year,No,6.0,Low Risk,25.3
15,69,113.25,Two year,Fiber optic,6.0,Low Risk,113.25
43,63,79.85,Two year,DSL,6.0,Low Risk,79.85
1050,12,43.65,Month-to-month,DSL,6.0,Low Risk,43.65
202,71,105.55,Two year,Fiber optic,6.0,Low Risk,105.55
1108,69,24.6,Two year,No,6.0,Low Risk,24.6
78,30,74.75,Month-to-month,DSL,6.0,Low Risk,74.75
1080,32,20.05,Two year,No,6.0,Low Risk,20.05
1016,71,80.1,Two year,DSL,6.0,Low Risk,80.1
44,13,76.2,Month-to-month,DSL,6.0,Low Risk,76.2
754,2,90.35,Month-to-month,Fiber optic,6.0,Low Risk,90.35
432,2,53.45,Month-to-month,DSL,6.0,Low Risk,53.45
781,5,44.8,Month-to-month,DSL,6.0,Low Risk,44.8
1136,63,20.0,Two year,No,6.0,Low Risk,20.0
902,17,93.85,Month-to-month,Fiber optic,6.0,Low Risk,93.85
442,54,114.65,One year,Fiber optic,6.0,Low Risk,114.65
541,11,58.95,Month-to-month,DSL,6.0,Low Risk,58.95
849,72,89.8,Two year,DSL,6.0,Low Risk,89.8
579,2,19.65,Month-to-month,No,6.0,Low Risk,19.65
599,65,20.4,Two year,No,6.0,Low Risk,20.4
615,15,48.85,Month-to-month,DSL,6.0,Low Risk,48.85
796,31,81.7,One year,Fiber optic,6.0,Low Risk,81.7
985,33,80.6,Month-to-month,Fiber optic,6.0,Low Risk,80.6
1198,42,20.75,Two year,No,6.0,Low Risk,20.75
643,49,89.85,One year,Fiber optic,6.0,Low Risk,89.85
248,1,48.55,Month-to-month,DSL,6.0,Low Risk,48.55
1337,31,20.4,Two year,No,6.0,Low Risk,20.4
247,15,74.4,Month-to-month,Fiber optic,6.0,Low Risk,74.4
696,72,85.15,Two year,DSL,6.0,Low Risk,85.15
722,4,85.95,Month-to-month,Fiber optic,6.0,Low Risk,85.95
1004,21,20.0,Month-to-month,No,6.0,Low Risk,20.0
219,8,80.0,Month-to-month,Fiber optic,6.0,Low Risk,80.0
748,48,19.25,Two year,No,5.0,Low Risk,19.25
1407,8,44.55,Two year,DSL,5.0,Low Risk,44.55
451,22,69.75,Month-to-month,DSL,5.0,Low Risk,69.75
1283,72,105.5,Two year,Fiber optic,5.0,Low Risk,105.5
883,67,111.25,One year,Fiber optic,5.0,Low Risk,111.25
487,72,88.6,Two year,DSL,5.0,Low Risk,88.6
1268,59,110.15,One year,Fiber optic,5.0,Low Risk,110.15
841,72,105.0,Two year,Fiber optic,5.0,Low Risk,105.0
1111,4,94.4,Month-to-month,Fiber optic,5.0,Low Risk,94.4
1261,2,80.15,Month-to-month,Fiber optic,5.0,Low Risk,80.15
22,1,20.15,Month-to-month,No,5.0,Low Risk,20.15
57,66,108.45,One year,Fiber optic,5.0,Low Risk,108.45
1256,72,85.9,Two year,DSL,5.0,Low Risk,85.9
702,29,84.9,Month-to-month,Fiber optic,5.0,Low Risk,84.9
642,1,89.55,Month-to-month,Fiber optic,5.0,Low Risk,89.55
393,19,19.9,Month-to-month,No,5.0,Low Risk,19.9
657,45,78.8,One year,DSL,5.0,Low Risk,78.8
424,10,40.7,Month-to-month,DSL,5.0,Low Risk,40.7
1015,12,53.65,One year,DSL,5.0,Low Risk,53.65
1115,39,53.85,Two year,DSL,5.0,Low Risk,53.85
346,2,90.4,Month-to-month,Fiber optic,5.0,Low Risk,90.4
293,6,89.35,Month-to-month,Fiber optic,5.0,Low Risk,89.35
1037,13,49.15,Month-to-month,DSL,5.0,Low Risk,49.15
164,11,20.6,One year,No,5.0,Low Risk,20.6
325,52,102.7,Month-to-month,Fiber optic,5.0,Low Risk,102.7
955,1,44.7,Month-to-month,DSL,5.0,Low Risk,44.7
328,28,35.9,Month-to-month,DSL,5.0,Low Risk,35.9
140,72,88.05,Two year,DSL,5.0,Low Risk,88.05
1031,27,71.6,Month-to-month,DSL,5.0,Low Risk,71.6
252,1,40.2,Month-to-month,DSL,5.0,Low Risk,40.2
281,10,51.2,Month-to-month,DSL,5.0,Low Risk,51.2
298,40,74.55,Month-to-month,DSL,5.0,Low Risk,74.55
206,72,55.45,Two year,DSL,5.0,Low Risk,55.45
227,1,55.2,Month-to-month,DSL,5.0,Low Risk,55.2
1343,64,73.05,One year,DSL,5.0,Low Risk,73.05
216,72,45.25,Two year,DSL,5.0,Low Risk,45.25
207,1,79.9,Month-to-month,Fiber optic,5.0,Low Risk,79.9
1055,36,19.55,One year,No,5.0,Low Risk,19.55
287,1,70.0,Month-to-month,Fiber optic,4.0,Low Risk,70.0
606,38,81.0,Two year,DSL,4.0,Low Risk,81.0
1011,71,58.65,Two year,DSL,4.0,Low Risk,58.65
819,70,88.0,Two year,Fiber optic,4.0,Low Risk,88.0
624,7,20.0,Month-to-month,No,4.0,Low Risk,20.0
780,71,73.35,Two year,DSL,4.0,Low Risk,73.35
1096,7,81.25,Month-to-month,DSL,4.0,Low Risk,81.25
991,58,24.35,Two year,No,4.0,Low Risk,24.35
283,68,54.45,Month-to-month,DSL,4.0,Low Risk,54.45
1100,15,24.8,Month-to-month,No,4.0,Low Risk,24.8
971,49,93.85,Month-to-month,Fiber optic,4.0,Low Risk,93.85
687,2,49.25,Month-to-month,DSL,4.0,Low Risk,49.25
804,6,85.35,Month-to-month,Fiber optic,4.0,Low Risk,85.35
350,37,62.8,Two year,DSL,4.0,Low Risk,62.8
1258,47,20.15,Two year,No,4.0,Low Risk,20.15
545,34,78.95,One year,Fiber optic,4.0,Low Risk,78.95
1054,40,97.1,Month-to-month,Fiber optic,4.0,Low Risk,97.1
134,2,44.35,Month-to-month,DSL,4.0,Low Risk,44.35
345,1,72.1,Month-to-month,Fiber optic,4.0,Low Risk,72.1
1069,20,54.0,One year,DSL,4.0,Low Risk,54.0
309,48,78.75,One year,DSL,4.0,Low Risk,78.75
885,1,20.05,Month-to-month,No,4.0,Low Risk,20.05
335,68,75.8,One year,DSL,4.0,Low Risk,75.8
922,16,75.4,Month-to-month,Fiber optic,4.0,Low Risk,75.4
550,72,110.3,Two year,Fiber optic,4.0,Low Risk,110.3
1044,8,54.25,One year,DSL,4.0,Low Risk,54.25
1262,12,51.25,Month-to-month,DSL,4.0,Low Risk,51.25
390,27,95.6,Month-to-month,Fiber optic,4.0,Low Risk,95.6
1356,9,75.2,Month-to-month,Fiber optic,4.0,Low Risk,75.2
67,31,79.2,Two year,DSL,4.0,Low Risk,79.2
406,60,95.4,One year,Fiber optic,4.0,Low Risk,95.4
1218,24,90.55,Month-to-month,Fiber optic,3.0,Low Risk,90.55
1128,27,19.4,Month-to-month,No,3.0,Low Risk,19.4
1301,66,58.2,Two year,DSL,3.0,Low Risk,58.2
1303,69,19.7,Two year,No,3.0,Low Risk,19.7
1375,39,19.85,Two year,No,3.0,Low Risk,19.85
1226,72,24.65,Two year,No,3.0,Low Risk,24.65
1177,46,79.2,Two year,DSL,3.0,Low Risk,79.2
1189,3,85.7,Month-to-month,Fiber optic,3.0,Low Risk,85.7
1131,14,64.7,Month-to-month,DSL,3.0,Low Risk,64.7
1308,16,86.6,Month-to-month,Fiber optic,3.0,Low Risk,86.6
1408,71,104.1,One year,Fiber optic,3.0,Low Risk,104.1
570,60,19.25,Two year,No,3.0,Low Risk,19.25
661,10,45.25,Month-to-month,DSL,3.0,Low Risk,45.25
640,68,25.4,Two year,No,3.0,Low Risk,25.4
214,23,86.8,Month-to-month,Fiber optic,3.0,Low Risk,86.8
253,32,83.7,One year,DSL,3.0,Low Risk,83.7
267,19,105.0,Month-to-month,Fiber optic,3.0,Low Risk,105.0
289,10,44.85,Month-to-month,DSL,3.0,Low Risk,44.85
633,10,20.35,One year,No,3.0,Low Risk,20.35
303,68,60.3,Two year,DSL,3.0,Low Risk,60.3
323,9,48.6,One year,DSL,3.0,Low Risk,48.6
626,23,84.25,Month-to-month,Fiber optic,3.0,Low Risk,84.25
396,33,109.9,Month-to-month,Fiber optic,3.0,Low Risk,109.9
438,35,89.85,Month-to-month,Fiber optic,3.0,Low Risk,89.85
937,6,79.05,Month-to-month,Fiber optic,3.0,Low Risk,79.05
934,12,33.6,One year,DSL,3.0,Low Risk,33.6
460,6,19.65,Month-to-month,No,3.0,Low Risk,19.65
463,7,99.8,Month-to-month,Fiber optic,3.0,Low Risk,99.8
486,15,100.15,Month-to-month,Fiber optic,3.0,Low Risk,100.15
505,20,94.1,Month-to-month,Fiber optic,3.0,Low Risk,94.1
1105,9,79.75,Month-to-month,Fiber optic,3.0,Low Risk,79.75
509,1,19.85,Month-to-month,No,3.0,Low Risk,19.85
189,40,56.6,Month-to-month,DSL,3.0,Low Risk,56.6
213,29,20.0,One year,No,3.0,Low Risk,20.0
671,53,25.55,Two year,No,3.0,Low Risk,25.55
727,5,80.85,Month-to-month,Fiber optic,3.0,Low Risk,80.85
28,72,90.25,Two year,DSL,3.0,Low Risk,90.25
48,52,79.75,Two year,DSL,3.0,Low Risk,79.75
815,25,84.6,Month-to-month,Fiber optic,3.0,Low Risk,84.6
95,12,78.95,Month-to-month,Fiber optic,3.0,Low Risk,78.95
827,14,25.55,Month-to-month,No,3.0,Low Risk,25.55
750,27,56.7,Month-to-month,DSL,3.0,Low Risk,56.7
848,72,92.0,Two year,DSL,3.0,Low Risk,92.0
120,56,99.8,One year,Fiber optic,3.0,Low Risk,99.8
115,3,89.85,Month-to-month,Fiber optic,3.0,Low Risk,89.85
129,71,56.45,One year,DSL,3.0,Low Risk,56.45
143,64,84.3,One year,Fiber optic,3.0,Low Risk,84.3
675,65,110.35,Two year,Fiber optic,3.0,Low Risk,110.35
843,13,30.85,Month-to-month,DSL,3.0,Low Risk,30.85
513,56,105.45,Month-to-month,Fiber optic,3.0,Low Risk,105.45
130,13,85.95,Month-to-month,Fiber optic,2.6,Low Risk,85.95
614,50,69.5,Two year,DSL,2.0,Low Risk,69.5
605,72,86.65,Two year,DSL,2.0,Low Risk,86.65
680,1,80.0,Month-to-month,Fiber optic,2.0,Low Risk,80.0
1240,25,20.15,Month-to-month,No,2.0,Low Risk,20.15
1253,7,79.3,Month-to-month,Fiber optic,2.0,Low Risk,79.3
761,22,89.25,Month-to-month,Fiber optic,2.0,Low Risk,89.25
1239,3,58.7,Month-to-month,DSL,2.0,Low Risk,58.7
1244,15,19.4,Month-to-month,No,2.0,Low Risk,19.4
784,63,40.6,One year,DSL,2.0,Low Risk,40.6
551,72,115.6,Two year,Fiber optic,2.0,Low Risk,115.6
785,46,110.0,One year,Fiber optic,2.0,Low Risk,110.0
404,20,19.7,Two year,No,2.0,Low Risk,19.7
1272,5,19.45,Month-to-month,No,2.0,Low Risk,19.45
446,1,69.55,Month-to-month,Fiber optic,2.0,Low Risk,69.55
1402,18,35.0,Month-to-month,DSL,2.0,Low Risk,35.0
1397,4,82.85,Month-to-month,Fiber optic,2.0,Low Risk,82.85
1389,34,94.25,Month-to-month,Fiber optic,2.0,Low Risk,94.25
60,47,100.5,Month-to-month,Fiber optic,2.0,Low Risk,100.5
107,32,30.15,One year,DSL,2.0,Low Risk,30.15
109,72,19.4,Two year,No,2.0,Low Risk,19.4
125,33,88.95,Two year,Fiber optic,2.0,Low Risk,88.95
137,64,20.2,Two year,No,2.0,Low Risk,20.2
146,3,19.6,One year,No,2.0,Low Risk,19.6
150,8,68.55,Month-to-month,DSL,2.0,Low Risk,68.55
166,4,70.9,Month-to-month,Fiber optic,2.0,Low Risk,70.9
168,58,45.3,Month-to-month,DSL,2.0,Low Risk,45.3
1345,57,100.75,One year,Fiber optic,2.0,Low Risk,100.75
1341,3,54.7,Month-to-month,DSL,2.0,Low Risk,54.7
251,2,70.4,Month-to-month,Fiber optic,2.0,Low Risk,70.4
262,57,89.85,Month-to-month,Fiber optic,2.0,Low Risk,89.85
1319,1,19.45,Month-to-month,No,2.0,Low Risk,19.45
329,17,82.65,Month-to-month,Fiber optic,2.0,Low Risk,82.65
382,72,64.8,Two year,DSL,2.0,Low Risk,64.8
795,2,64.2,Month-to-month,DSL,2.0,Low Risk,64.2
1296,20,80.7,Month-to-month,Fiber optic,2.0,Low Risk,80.7
792,8,19.85,Two year,No,2.0,Low Risk,19.85
1114,32,98.85,Month-to-month,Fiber optic,2.0,Low Risk,98.85
1154,45,24.65,Two year,No,2.0,Low Risk,24.65
1089,16,74.75,Month-to-month,Fiber optic,2.0,Low Risk,74.75
895,30,94.3,Month-to-month,Fiber optic,2.0,Low Risk,94.3
951,8,75.6,Month-to-month,Fiber optic,2.0,Low Risk,75.6
867,5,20.5,Month-to-month,No,2.0,Low Risk,20.5
1176,6,109.9,Month-to-month,Fiber optic,2.0,Low Risk,109.9
984,72,23.75,Two year,No,2.0,Low Risk,23.75
1043,32,69.75,Month-to-month,Fiber optic,2.0,Low Risk,69.75
1185,1,60.15,Month-to-month,DSL,2.0,Low Risk,60.15
836,62,71.4,One year,DSL,2.0,Low Risk,71.4
1124,12,49.05,Month-to-month,DSL,2.0,Low Risk,49.05
998,72,20.7,Two year,No,2.0,Low Risk,20.7
1166,5,53.8,Month-to-month,DSL,2.0,Low Risk,53.8
1024,37,70.35,Month-to-month,Fiber optic,1.9,Low Risk,70.35
233,72,20.25,Two year,No,1.0,Low Risk,20.25
255,67,59.55,Two year,DSL,1.0,Low Risk,59.55
1103,54,105.2,One year,Fiber optic,1.0,Low Risk,105.2
965,8,100.3,Month-to-month,Fiber optic,1.0,Low Risk,100.3
1321,60,65.85,One year,DSL,1.0,Low Risk,65.85
315,51,110.05,One year,Fiber optic,1.0,Low Risk,110.05
16,52,20.65,One year,No,1.0,Low Risk,20.65
1405,1,76.0,Month-to-month,Fiber optic,1.0,Low Risk,76.0
330,35,19.85,Two year,No,1.0,Low Risk,19.85
354,21,41.9,Month-to-month,DSL,1.0,Low Risk,41.9
1306,70,115.55,One year,Fiber optic,1.0,Low Risk,115.55
361,41,98.8,Two year,Fiber optic,1.0,Low Risk,98.8
379,17,86.75,One year,Fiber optic,1.0,Low Risk,86.75
1153,52,64.3,One year,DSL,1.0,Low Risk,64.3
800,70,75.65,Two year,Fiber optic,1.0,Low Risk,75.65
8,28,104.8,Month-to-month,Fiber optic,1.0,Low Risk,104.8
398,33,54.6,Month-to-month,DSL,1.0,Low Risk,54.6
400,32,19.75,One year,No,1.0,Low Risk,19.75
1156,53,18.7,Two year,No,1.0,Low Risk,18.7
430,61,19.4,Month-to-month,No,1.0,Low Risk,19.4
926,3,79.4,Month-to-month,Fiber optic,1.0,Low Risk,79.4
455,24,104.15,Month-to-month,Fiber optic,1.0,Low Risk,104.15
912,72,106.1,One year,Fiber optic,1.0,Low Risk,106.1
1162,67,72.35,One year,DSL,1.0,Low Risk,72.35
905,9,100.5,Month-to-month,Fiber optic,1.0,Low Risk,100.5
498,5,28.45,Month-to-month,DSL,1.0,Low Risk,28.45
1165,25,19.9,One year,No,1.0,Low Risk,19.9
1401,4,99.8,Month-to-month,Fiber optic,1.0,Low Risk,99.8
1087,32,87.65,Month-to-month,Fiber optic,1.0,Low Risk,87.65
33,1,20.2,Month-to-month,No,1.0,Low Risk,20.2
1130,26,19.15,Two year,No,1.0,Low Risk,19.15
32,27,66.15,One year,DSL,1.0,Low Risk,66.15
61,60,89.9,Month-to-month,Fiber optic,1.0,Low Risk,89.9
80,1,79.35,Month-to-month,Fiber optic,1.0,Low Risk,79.35
1380,61,98.45,One year,Fiber optic,1.0,Low Risk,98.45
81,11,50.55,Month-to-month,DSL,1.0,Low Risk,50.55
97,5,21.05,Month-to-month,No,1.0,Low Risk,21.05
105,5,24.3,Month-to-month,DSL,1.0,Low Risk,24.3
1099,5,55.7,Month-to-month,DSL,1.0,Low Risk,55.7
119,27,85.2,Month-to-month,Fiber optic,1.0,Low Risk,85.2
1057,10,84.7,Month-to-month,Fiber optic,1.0,Low Risk,84.7
1367,61,82.15,Month-to-month,Fiber optic,1.0,Low Risk,82.15
123,7,50.7,Month-to-month,DSL,1.0,Low Risk,50.7
23,58,59.9,Two year,DSL,1.0,Low Risk,59.9
1143,18,56.8,Month-to-month,DSL,1.0,Low Risk,56.8
136,23,75.0,Month-to-month,Fiber optic,1.0,Low Risk,75.0
1021,28,54.35,One year,DSL,1.0,Low Risk,54.35
1358,10,70.15,Month-to-month,Fiber optic,1.0,Low Risk,70.15
1134,26,81.95,Month-to-month,Fiber optic,1.0,Low Risk,81.95
176,15,74.45,Month-to-month,Fiber optic,1.0,Low Risk,74.45
1348,10,79.95,Month-to-month,Fiber optic,1.0,Low Risk,79.95
184,13,79.25,Month-to-month,Fiber optic,1.0,Low Risk,79.25
529,56,99.9,Two year,Fiber optic,1.0,Low Risk,99.9
1342,8,20.0,Two year,No,1.0,Low Risk,20.0
1340,0,56.05,Two year,DSL,1.0,Low Risk,56.05
209,64,102.45,One year,Fiber optic,1.0,Low Risk,102.45
1335,2,45.0,Month-to-month,DSL,1.0,Low Risk,45.0
223,4,50.05,Month-to-month,DSL,1.0,Low Risk,50.05
1194,14,50.45,Month-to-month,DSL,1.0,Low Risk,50.45
609,65,105.25,Month-to-month,Fiber optic,1.0,Low Risk,105.25
1210,17,69.0,Month-to-month,Fiber optic,1.0,Low Risk,69.0
588,72,99.15,Two year,Fiber optic,1.0,Low Risk,99.15
597,4,65.55,Month-to-month,DSL,1.0,Low Risk,65.55
600,16,74.55,Month-to-month,Fiber optic,1.0,Low Risk,74.55
697,3,50.15,Month-to-month,DSL,1.0,Low Risk,50.15
